id,reading,reading_time,fuel_volume_l,volume_diff,prev_fuel_volume,anomalyflag,anomalytypes,stationId,station_name
34.0,23.65,2025-11-20 17:26:00,12100.0,560.0,11540.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
35.0,24.44,2025-11-20 17:26:00,11420.0,-680.0,12100.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
201.0,31.33,2025-11-20 18:10:00,5520.0,1489.9999999999995,4030.0000000000005,-1.0,Unusual small change,ST001,Ceypetco Maharagama
203.0,30.58,2025-11-20 18:10:00,6160.0,470.0,5690.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
207.0,29.17,2025-11-20 18:11:00,7370.0,1540.0,5830.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
208.0,26.84,2025-11-20 18:12:00,9360.0,1990.0,7370.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
209.0,26.41,2025-11-20 18:12:00,9730.0,370.0,9360.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
211.0,26.22,2025-11-20 18:12:00,9890.0,340.0,9550.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
233.0,30.73,2025-11-21 09:34:00,6040.0,-3850.0,9890.0,-1.0,Sudden large drop,ST001,Ceypetco Maharagama
256.0,36.05,2025-11-21 09:40:00,1480.0,-4190.0,5670.0,-1.0,Sudden large drop,ST001,Ceypetco Maharagama
257.0,37.35,2025-11-21 09:40:00,370.0,-1110.0,1480.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
266.0,23.02,2025-11-21 10:31:00,12640.0,330.0,12310.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
271.0,22.86,2025-11-21 10:32:00,12780.0,830.0,11950.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
272.0,23.82,2025-11-21 10:32:00,11950.0,-830.0,12780.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
276.0,23.41,2025-11-21 10:33:00,12310.0,520.0,11790.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
278.0,24.01,2025-11-21 10:34:00,11790.0,-660.0,12450.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
279.0,23.41,2025-11-21 10:34:00,12310.0,520.0,11790.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
346.0,23.08,2025-11-21 10:52:00,12590.0,800.0,11790.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
348.0,23.02,2025-11-21 10:52:00,12640.0,510.0,12130.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
353.0,24.28,2025-11-21 10:53:00,11560.0,-720.0,12280.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
355.0,25.11,2025-11-21 10:54:00,10850.0,-880.0,11730.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
357.0,26.17,2025-11-21 10:54:00,9940.0,-720.0,10660.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
707.0,24.71,2025-11-22 12:10:00,11190.0,-670.0,11860.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
766.0,36.12,2025-11-22 12:25:00,1420.0,-609.9999999999998,2029.9999999999998,-1.0,Unusual small change,ST001,Ceypetco Maharagama
788.0,23.24,2025-11-22 17:26:00,12450.0,510.0,11940.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
789.0,23.91,2025-11-22 17:26:00,11880.0,-570.0,12450.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
792.0,25.33,2025-11-22 17:27:00,10660.0,-700.0,11360.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
834.0,36.92,2025-11-22 17:43:00,740.0,-760.0,1500.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
838.0,36.75,2025-11-22 17:43:00,880.0,670.0,210.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
839.0,37.56,2025-11-22 17:44:00,190.0,-690.0,880.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
850.0,25.33,2025-11-23 20:22:00,10660.0,-700.0,11360.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
889.0,36.08,2025-11-23 20:36:00,1460.0,-2030.0,3490.0,-1.0,Sudden large drop,ST001,Ceypetco Maharagama
911.0,23.65,2025-11-24 10:39:00,12100.0,560.0,11540.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
912.0,24.44,2025-11-24 10:39:00,11420.0,-680.0,12100.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
1078.0,31.33,2025-11-24 11:20:00,5520.0,1489.9999999999995,4030.0000000000005,-1.0,Unusual small change,ST001,Ceypetco Maharagama
1080.0,30.58,2025-11-24 11:21:00,6160.0,470.0,5690.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
1084.0,29.17,2025-11-24 11:22:00,7370.0,1540.0,5830.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
1085.0,26.84,2025-11-24 11:22:00,9830.0,2460.0,7370.0,-1.0,Unexpected refill,ST001,Ceypetco Maharagama
1088.0,26.22,2025-11-24 11:23:00,9890.0,340.0,9550.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
1110.0,30.73,2025-11-24 11:28:00,6190.0,-3700.0,9890.0,-1.0,Sudden large drop,ST001,Ceypetco Maharagama
1133.0,36.05,2025-11-24 11:34:00,2160.0,-3510.0,5670.0,-1.0,Sudden large drop,ST001,Ceypetco Maharagama
1134.0,37.35,2025-11-24 11:35:00,370.0,-1790.0,2160.0,-1.0,Unusual small change,ST001,Ceypetco Maharagama
